all|all
abnormality|abnormality of body height
multicystic|multicystic kidney dysplasia
multicystic|multicystic dysplastic kidney
multicystic|multicystic kidneys
multicystic|multicystic renal dysplasia.
onset|onset and clinical course
mode|mode of inheritance
inheritance|inheritance
autosomal|autosomal dominant inheritance
autosomal|autosomal dominant
autosomal|autosomal recessive inheritance
autosomal|autosomal recessive
abnormality|abnormality of female internal genitalia
functional|functional abnormality of the bladder
poor|poor bladder function
recurrent|recurrent urinary tract infections
frequent|frequent urinary tract infections
urinary|urinary infection
urinary|urinary tract infection
urinary|urinary tract infections
urinary|urinary tract infections, recurrent
neurogenic|neurogenic bladder
urinary|urinary urgency
hypoplasia|hypoplasia of the uterus
hypoplastic|hypoplastic uterus
rudimentary|rudimentary uterus
abnormality|abnormality of the bladder
bladder|bladder diverticula
urinary|urinary retention
nocturia|nocturia
nycturia|nycturia
urinary|urinary hesitancy
urinary|urinary incontinence
bladder|bladder incontinence
lower|lower urinary tract dilatation
abnormality|abnormality of male internal genitalia
inguinal|inguinal hernia
prostatitis|prostatitis
functional|functional abnormality of male internal genitalia
male|male hypogonadism
azoospermia|azoospermia
cryptorchidism|cryptorchidism
undescended|undescended testes
undescended|undescended testis
testicular|testicular atrophy
testicular|testicular gonadoblastoma
epididymitis|epididymitis
abnormality|abnormality of male external genitalia
ambiguous|ambiguous genitalia, male
ambiguous|ambiguous genitalia in males
hydrocele|hydrocele testis
testicular|testicular hydrocele
abnormality|abnormality of the testis
abnormality|abnormality of the penis
male|male pseudohermaphroditism
epispadias|epispadias
enlarged|enlarged penis
large|large penis
chordee|chordee
absent|absent external genitalia
hypogonadotrophic|hypogonadotrophic hypogonadism
hypogonadism,|hypogonadism, hypogonadotropic
abnormality|abnormality of the scrotum
scrotal|scrotal hypoplasia
hypoplastic|hypoplastic scrotum
hypospadias|hypospadias
bifid|bifid scrotum
shawl|shawl scrotum
overriding|overriding scrotum
hypoplastic|hypoplastic genitalia
perineal|perineal hypospadias
urethral|urethral atresia, male
macroorchidism|macroorchidism
micropenis|micropenis
microphallus|microphallus
short|short penis
small|small penis
abnormality|abnormality of female external genitalia
abnormality|abnormality of the clitoris
clitoromegaly|clitoromegaly
clitoral|clitoral enlargement
enlarged|enlarged clitoris
prominent|prominent clitoris
abnormality|abnormality of the labia
hypoplastic|hypoplastic labia majora
hypoplasia|hypoplasia of labia majora
small|small labia majora
clitoral|clitoral hypoplasia
hypoplastic|hypoplastic clitoris
small|small clitoris
ambiguous|ambiguous genitalia, female
ambiguous|ambiguous genitalia
ambiguous|ambiguous external genitalia
ambiguous|ambiguous external genitalia at birth
fused|fused labia minora
hypoplastic|hypoplastic labia minora
labial|labial hypertrophy
labial|labial hypoplasia
hypoplastic|hypoplastic labia
urethral|urethral atresia, female
urethral|urethral atresia
abnormality|abnormality of the ureter
abnormality|abnormality of the ureters
ureteral|ureteral anomalies
ureterocele|ureterocele
ureteral|ureteral stenosis
hydroureter|hydroureter
megaureter|megaureter
ureteral|ureteral dilatation
ureteral|ureteral duplication
double|double ureter
ureteropelvic|ureteropelvic junction obstruction
pelviureteric|pelviureteric junction obstruction
renal|renal duplication
vesicoureteral|vesicoureteral reflux
ureteral|ureteral reflux
ureteric|ureteric reflux
vesicoureteric|vesicoureteric reflux
abnormality|abnormality of the kidney
renal|renal anomalies
renal|renal anomaly
abnormality|abnormality of the genital system
genital|genital abnormalities
genital|genital abnormality
genital|genital anomalies
genital|genital defects
abnormality|abnormality of the urinary system
urinary|urinary tract abnormalities
urinary|urinary tract abnormality
urinary|urinary tract anomalies
abnormality|abnormality of genital physiology
genital|genital functional abnormality
duplicated|duplicated collecting system
double|double collecting system
double|double urinary collecting systems on intravenous pyelography
duplicated|duplicated renal collecting system
abnormality|abnormality of renal physiology
decreased|decreased renal function
impaired|impaired renal function
loss|loss of renal function
reduced|reduced renal function
renal|renal dysfunction
renal|renal functional abnormality
renal|renal insufficiency
renal|renal failure
renal|renal failure in adulthood
horseshoe|horseshoe kidney
horseshoe|horseshoe kidneys
ectopic|ectopic kidney
ectopic|ectopic kidneys
renal|renal ectopia
renal|renal hypoplasia
hypoplastic|hypoplastic kidney
hypoplastic|hypoplastic kidneys
small|small kidneys
nephronophthisis|nephronophthisis
abnormality|abnormality of the renal tubule
tubular|tubular atrophy
renal|renal tubular cell atrophy
proteinuria|proteinuria
morphological|morphological abnormalities of the glomeruli
glomerulosclerosis|glomerulosclerosis
focal|focal segmental glomerulosclerosis
focal|focal and segmental glomerular sclerosis
focal|focal and segmental glomerulosclerosis
tall|tall stature
accelerated|accelerated linear growth
increased|increased body height
increased|increased linear growth
glomerulonephritis|glomerulonephritis
glomrulonephritis|glomrulonephritis
nephrotic|nephrotic syndrome
nephrosis|nephrosis
polyuria|polyuria
renal|renal agenesis
absent|absent kidney
enlarged|enlarged kidneys
large|large kidneys
renal|renal enlargement
progressive|progressive renal insufficiency
progressive|progressive renal failure
renal|renal insufficiency, progressive
renal|renal cysts
renal|renal corticomedullary cysts
corticomedullary|corticomedullary renal cysts
renal|renal corticomedullary cystic disease
renal|renal dysplasia
dysplastic|dysplastic kidneys
renal|renal juxtaglomerular cell hypertrophy/hyperplasia
nephropathy|nephropathy
polycystic|polycystic kidney dysplasia
polycystic|polycystic kidney disease
polycystic|polycystic kidneys
proximal|proximal tubulopathy
proximal|proximal renal tubule defect
proximal|proximal renal tubulopathy
proximal|proximal tubular defect
proximal|proximal tubule dysfunction
decreased|decreased renal tubular phosphate reabsorption
decreased|decreased tubular maximum for phosphate reabsorption per glomerular filtration rate
decreased|decreased tubular maximum for phosphate reabsorption per glomerular filtration rate (tmp/gfr)
renal|renal phosphate wasting
tubular|tubular phosphate reabsorption low
phenotypic|phenotypic abnormality
organ|organ abnormality
abnormality|abnormality of the genitourinary system
genitourinary|genitourinary abnormality
genitourinary|genitourinary tract anomalies
urogenital|urogenital abnormalities
urogenital|urogenital anomalies
reduced|reduced creatinine clearance
impaired|impaired renal creatinine clearance
nephrocalcinosis|nephrocalcinosis
unilateral|unilateral renal agenesis
unilateral|unilateral kidney agenesis
nephritis|nephritis
renal|renal tubular dysfunction
renal|renal tubular defect
renal|renal tubular disease
pelvic|pelvic kidney
hydronephrosis|hydronephrosis
renal|renal salt wasting
renal|renal salt-wasting
salt|salt wasting
salt-wasting|salt-wasting
renal|renal potassium wasting
abnormality|abnormality of the uterus
uterine|uterine abnormalities
uterine|uterine malformations
uterine|uterine leiomyoma
benign|benign uterine leiomyomas
uterine|uterine fibroid
menorrhagia|menorrhagia
gonadal|gonadal dysgenesis
mixed|mixed gonadal dysgenesis
pure|pure gonadal dysgenesis
female|female hypogonadism
hypogonadism,|hypogonadism, female
hypogonadism|hypogonadism
bifid|bifid uterus
abnormality|abnormality of the ovary
abnormality|abnormality of the ovaries
ovarian|ovarian cysts
cystic|cystic abnormalities of the ovaries
cystic|cystic ovaries
ovarian|ovarian cystic abnormality
uterine|uterine prolapse
abnormality|abnormality of the menstrual cycle
amenorrhea|amenorrhea
